iter	Passed	Remaining
566	1750	1336
567	1753	1333
568	1755	1329
569	1758	1326
570	1761	1323
571	1763	1319
572	1766	1316
573	1768	1312
574	1771	1309
575	1774	1306
576	1776	1302
577	1779	1299
578	1782	1296
579	1785	1293
580	1788	1289
581	1791	1286
582	1794	1283
583	1796	1279
584	1799	1276
585	1802	1273
586	1805	1270
587	1808	1266
588	1810	1263
589	1813	1260
590	1816	1256
591	1818	1253
592	1821	1250
593	1824	1247
594	1827	1243
595	1830	1240
596	1832	1237
597	1835	1233
598	1838	1230
599	1840	1227
600	1843	1224
601	1846	1220
602	1849	1217
603	1852	1214
604	1855	1211
605	1858	1208
606	1860	1204
607	1863	1201
608	1866	1198
609	1869	1195
610	1871	1191
611	1874	1188
612	1877	1185
613	1879	1181
614	1882	1178
615	1885	1175
616	1888	1172
617	1891	1168
618	1893	1165
619	1896	1162
620	1898	1158
621	1901	1155
622	1904	1152
623	1906	1148
624	1909	1145
625	1912	1142
626	1914	1139
627	1917	1136
628	1920	1132
629	1923	1129
630	1925	1126
631	1928	1122
632	1931	1119
633	1935	1117
634	1938	1114
635	1941	1110
636	1944	1107
637	1946	1104
638	1949	1101
639	1952	1098
640	1955	1095
641	1957	1091
642	1960	1088
643	1963	1085
644	1966	1082
645	1969	1079
646	1972	1076
647	1975	1072
648	1978	1069
649	1981	1066
650	1984	1063
651	1986	1060
652	1989	1057
653	1992	1054
654	1994	1050
655	1997	1047
656	2000	1044
657	2003	1041
658	2005	1037
659	2008	1034
660	2011	1031
661	2014	1028
662	2017	1025
663	2019	1022
664	2022	1018
665	2025	1015
666	2027	1012
667	2030	1009
668	2033	1005
669	2035	1002
670	2038	999
671	2041	996
672	2044	993
673	2046	990
674	2049	986
675	2052	983
676	2055	980
677	2058	977
678	2060	974
679	2063	971
680	2066	968
681	2069	964
682	2072	961
683	2074	958
684	2077	955
685	2080	952
686	2083	949
687	2086	945
688	2089	943
689	2091	939
690	2094	936
691	2097	933
692	2100	930
693	2102	927
694	2105	923
695	2108	920
696	2110	917
697	2113	914
698	2116	911
699	2119	908
700	2122	905
701	2124	901
702	2127	898
703	2129	895
704	2132	892
705	2135	889
706	2138	886
707	2141	883
708	2144	880
709	2147	877
710	2150	874
711	2153	871
712	2156	867
713	2158	864
714	2161	861
715	2164	858
716	2166	855
717	2169	852
718	2173	849
719	2176	846
720	2178	843
721	2181	840
722	2184	837
723	2187	833
724	2190	830
725	2193	827
726	2196	824
727	2198	821
728	2201	818
729	2204	815
730	2207	812
731	2210	809
732	2213	806
733	2216	803
734	2218	799
735	2221	796
736	2224	793
737	2226	790
738	2229	787
739	2232	784
740	2235	781
741	2237	778
742	2240	775
743	2243	771
744	2245	768
745	2248	765
746	2251	762
747	2254	759
748	2257	756
749	2259	753
750	2262	750
751	2265	747
752	2267	743
753	2270	740
754	2272	737
755	2275	734
756	2278	731
757	2281	728
758	2284	725
759	2287	722
760	2289	719
761	2292	716
762	2295	712
763	2298	709
764	2300	706
765	2303	703
766	2306	700
767	2308	697
768	2311	694
769	2314	691
770	2316	688
771	2319	685
772	2322	681
773	2325	678
774	2328	675
775	2331	672
776	2333	669
777	2336	666
778	2339	663
779	2342	660
780	2345	657
781	2348	654
782	2351	651
783	2353	648
784	2356	645
785	2358	642
786	2361	639
787	2364	636
788	2366	632
789	2369	629
790	2372	626
791	2375	623
792	2378	620
793	2381	617
794	2383	614
795	2386	611
796	2389	608
797	2391	605
798	2394	602
799	2397	599
800	2400	596
801	2403	593
802	2406	590
803	2409	587
804	2412	584
805	2414	581
806	2417	578
807	2419	575
808	2422	572
809	2425	569
810	2428	565
811	2431	562
812	2433	559
813	2436	556
814	2438	553
815	2441	550
816	2444	547
817	2447	544
818	2450	541
819	2453	538
820	2456	535
821	2459	532
822	2461	529
823	2464	526
824	2467	523
825	2470	520
826	2472	517
827	2475	514
828	2478	511
829	2481	508
830	2484	505
831	2487	502
832	2490	499
833	2493	496
834	2496	493
835	2499	490
836	2501	487
837	2504	484
838	2507	481
839	2510	478
840	2513	475
841	2515	472
842	2518	469
843	2521	466
844	2524	463
845	2527	460
846	2529	457
847	2532	453
848	2535	450
849	2537	447
850	2540	444
851	2543	441
852	2546	438
853	2548	435
854	2551	432
855	2554	429
856	2556	426
857	2559	423
858	2562	420
859	2565	417
860	2568	414
861	2570	411
862	2573	408
863	2575	405
864	2578	402
865	2581	399
866	2584	396
867	2587	393
868	2589	390
869	2592	387
870	2595	384
